name,waveFilename,keyBinding
A0,Piano.ff.A0.aiff,0
Bb0,Piano.ff.Bb0.aiff,0
B0,Piano.ff.B0.aiff,0
C1,Piano.ff.C1.aiff,0
Db1,Piano.ff.Db1.aiff,0
D1,Piano.ff.D1.aiff,0
Eb1,Piano.ff.Eb1.aiff,0
E1,Piano.ff.E1.aiff,0
F1,Piano.ff.F1.aiff,0
Gb1,Piano.ff.Gb1.aiff,0
G1,Piano.ff.G1.aiff,0
Ab1,Piano.ff.Ab1.aiff,0
A1,Piano.ff.A1.aiff,0
Bb1,Piano.ff.Bb1.aiff,0
B1,Piano.ff.B1.aiff,0
C2,Piano.ff.C2.aiff,0
Db2,Piano.ff.Db2.aiff,0
D2,Piano.ff.D2.aiff,0
Eb2,Piano.ff.Eb2.aiff,0
E2,Piano.ff.E2.aiff,0
F2,Piano.ff.F2.aiff,0
Gb2,Piano.ff.Gb2.aiff,0
G2,Piano.ff.G2.aiff,0
Ab2,Piano.ff.Ab2.aiff,0
A2,Piano.ff.A2.aiff,0
Bb2,Piano.ff.Bb2.aiff,0
B2,Piano.ff.B2.aiff,0
C3,Piano.ff.C3.aiff,20
Db3,Piano.ff.Db3.aiff,31
D3,Piano.ff.D3.aiff,26
Eb3,Piano.ff.Eb3.aiff,32
E3,Piano.ff.E3.aiff,8
F3,Piano.ff.F3.aiff,21
Gb3,Piano.ff.Gb3.aiff,34
G3,Piano.ff.G3.aiff,23
Ab3,Piano.ff.Ab3.aiff,35
A3,Piano.ff.A3.aiff,28
Bb3,Piano.ff.Bb3.aiff,36
B3,Piano.ff.B3.aiff,24
C4,Piano.ff.C4.aiff,25
Db4,Piano.ff.Db4.aiff,10
D4,Piano.ff.D4.aiff,5
Eb4,Piano.ff.Eb4.aiff,11
E4,Piano.ff.E4.aiff,17
F4,Piano.ff.F4.aiff,16
Gb4,Piano.ff.Gb4.aiff,14
G4,Piano.ff.G4.aiff,54
Ab4,Piano.ff.Ab4.aiff,15
A4,Piano.ff.A4.aiff,55
Bb4,Piano.ff.Bb4.aiff,51
B4,Piano.ff.B4.aiff,56
C5,Piano.ff.C5.aiff,229
Db5,Piano.ff.Db5.aiff,0
D5,Piano.ff.D5.aiff,0
Eb5,Piano.ff.Eb5.aiff,0
E5,Piano.ff.E5.aiff,0
F5,Piano.ff.F5.aiff,0
Gb5,Piano.ff.Gb5.aiff,0
G5,Piano.ff.G5.aiff,0
Ab5,Piano.ff.Ab5.aiff,0
A5,Piano.ff.A5.aiff,0
Bb5,Piano.ff.Bb5.aiff,0
B5,Piano.ff.B5.aiff,0
C6,Piano.ff.C6.aiff,0
Db6,Piano.ff.Db6.aiff,0
D6,Piano.ff.D6.aiff,0
Eb6,Piano.ff.Eb6.aiff,0
E6,Piano.ff.E6.aiff,0
F6,Piano.ff.F6.aiff,0
Gb6,Piano.ff.Gb6.aiff,0
G6,Piano.ff.G6.aiff,0
Ab6,Piano.ff.Ab6.aiff,0
A6,Piano.ff.A6.aiff,0
Bb6,Piano.ff.Bb6.aiff,0
B6,Piano.ff.B6.aiff,0
C7,Piano.ff.C7.aiff,0
Db7,Piano.ff.Db7.aiff,0
D7,Piano.ff.D7.aiff,0
Eb7,Piano.ff.Eb7.aiff,0
E7,Piano.ff.E7.aiff,0
F7,Piano.ff.F7.aiff,0
Gb7,Piano.ff.Gb7.aiff,0
G7,Piano.ff.G7.aiff,0
Ab7,Piano.ff.Ab7.aiff,0
A7,Piano.ff.A7.aiff,0
Bb7,Piano.ff.Bb7.aiff,0
B7,Piano.ff.B7.aiff,0
C8,Piano.ff.C8.aiff,0
